inquiry_id,user_id,inquiry_text,status,submitted_at
INQ0077,USER0111,パスワードを忘れてしまいました。リセット方法は？,未対応,2026-03-31 19:02:00
INQ0078,USER0496,アカウントを削除したいです。手順を教えてください。,対応中,2026-01-12 22:15:00
INQ0079,USER0154,分割払いは可能ですか？,未対応,2026-03-07 01:43:00
INQ0080,USER0232,取扱説明書を紛失したので再送してほしい。,完了,2026-01-04 12:54:00
INQ0081,USER0237,返品をしたいのですが、手続き方法を教えてください。,未対応,2026-03-12 07:06:00
INQ0082,USER0426,支払い方法を後から変更できますか？,未対応,2026-01-16 00:03:00
INQ0083,USER0352,商品を大量購入したい場合、割引はありますか？,完了,2026-01-26 12:23:00
INQ0084,USER0133,海外発送は対応していますか？,未対応,2026-01-11 18:37:00
INQ0085,USER0331,招待プログラムの特典はいつ反映されますか？,未対応,2026-01-09 06:57:00
INQ0086,USER0022,ポイント付与が反映されていません。,未対応,2026-01-12 10:07:00
INQ0087,USER0421,ログインできなくなってしまいました。,対応中,2026-01-22 18:27:00
INQ0088,USER0219,返送料はどちらが負担しますか？,対応中,2026-01-04 12:43:00
INQ0089,USER0144,招待プログラムの特典はいつ反映されますか？,未対応,2026-01-28 05:17:00
INQ0090,USER0316,領収書の発行をお願いします。,完了,2026-01-05 19:39:00
INQ0091,USER0452,取扱説明書を紛失したので再送してほしい。,対応中,2026-02-07 15:26:00
INQ0092,USER0197,サイズ交換は可能ですか？,対応中,2026-01-08 02:17:00
INQ0093,USER0409,商品在庫はいつ頃復活しますか？,未対応,2026-01-26 20:56:00
INQ0094,USER0010,2段階認証を設定したいです。,完了,2026-03-22 17:50:00
INQ0095,USER0401,商品の使い方が分からないので教えてほしい。,対応中,2026-02-15 15:34:00
INQ0096,USER0199,コンビニ決済の支払期限が過ぎてしまいました。,未対応,2026-03-14 16:20:00
INQ0097,USER0113,配送日時の指定を変更できますか？,対応中,2026-01-04 10:38:00
INQ0098,USER0184,御社のSNSアカウントを教えてください。,未対応,2026-01-08 15:33:00
INQ0099,USER0337,領収書の発行をお願いします。,対応中,2026-01-21 03:15:00
INQ0100,USER0392,支払い方法を後から変更できますか？,完了,2026-03-10 23:03:00
INQ0101,USER0430,返送料はどちらが負担しますか？,未対応,2026-02-19 11:59:00
INQ0102,USER0413,アカウントを削除したいです。手順を教えてください。,完了,2026-01-31 18:20:00
INQ0103,USER0181,退会理由のアンケートに答えたいです。,完了,2026-01-04 22:44:00
INQ0104,USER0429,商品の使い方が分からないので教えてほしい。,完了,2026-01-19 18:12:00
INQ0105,USER0020,配送業者を指定することはできますか？,未対応,2026-02-09 05:31:00
INQ0106,USER0011,商品在庫はいつ頃復活しますか？,対応中,2026-01-30 19:14:00
INQ0107,USER0315,返金までにどのくらい時間がかかりますか？,未対応,2026-01-01 10:58:00
INQ0108,USER0471,パスワードを忘れてしまいました。リセット方法は？,未対応,2026-02-13 22:11:00
INQ0109,USER0361,開封済みの商品でも返品できますか？,未対応,2026-01-03 04:37:00
INQ0110,USER0192,ログインできなくなってしまいました。,完了,2026-03-09 11:04:00
INQ0111,USER0166,サイズ交換は可能ですか？,未対応,2026-01-13 10:19:00
INQ0112,USER0328,商品の使い方が分からないので教えてほしい。,完了,2026-04-04 13:50:00
INQ0113,USER0496,取扱説明書を紛失したので再送してほしい。,完了,2026-02-10 05:45:00
INQ0114,USER0341,御社のSNSアカウントを教えてください。,未対応,2026-03-20 11:14:00
INQ0115,USER0353,決済エラーが出て注文できません。原因を教えてください。,未対応,2026-02-18 09:46:00
INQ0116,USER0486,退会理由のアンケートに答えたいです。,対応中,2026-01-23 23:00:00
INQ0117,USER0094,法人向けの請求書払いに対応していますか？,対応中,2026-04-09 18:02:00
INQ0118,USER0290,返品をしたいのですが、手続き方法を教えてください。,対応中,2026-03-20 07:40:00
INQ0119,USER0040,領収書の発行をお願いします。,対応中,2026-01-19 10:47:00
INQ0120,USER0454,配送業者を指定することはできますか？,完了,2026-02-10 05:40:00
INQ0121,USER0454,会員ランクはどうすれば上がりますか？,対応中,2026-03-27 20:46:00
INQ0122,USER0128,海外発送は対応していますか？,対応中,2026-01-02 08:13:00
INQ0123,USER0001,不在時の荷物の再配達を依頼したいです。,対応中,2026-02-02 03:46:00
INQ0124,USER0497,使用後の返品は受け付けていますか？,対応中,2026-02-26 23:26:00
INQ0125,USER0280,2段階認証を設定したいです。,未対応,2026-03-05 12:22:00
INQ0126,USER0389,支払い方法を後から変更できますか？,未対応,2026-03-03 18:41:00
INQ0127,USER0434,配送先住所を変更したいです。,対応中,2026-02-27 02:51:00
INQ0128,USER0488,返品をしたいのですが、手続き方法を教えてください。,未対応,2026-01-03 10:16:00
INQ0129,USER0193,使用後の返品は受け付けていますか？,完了,2026-02-13 05:56:00
INQ0130,USER0048,会員ランクはどうすれば上がりますか？,完了,2026-01-10 17:57:00
INQ0131,USER0016,誕生日クーポンが届いていません。,完了,2026-03-20 15:45:00
INQ0132,USER0223,使用後の返品は受け付けていますか？,未対応,2026-01-22 19:56:00
INQ0133,USER0499,返金までにどのくらい時間がかかりますか？,対応中,2026-01-13 10:13:00
INQ0134,USER0474,商品の仕様について詳しく知りたいです。,対応中,2026-03-31 17:46:00
INQ0135,USER0122,返品をしたいのですが、手続き方法を教えてください。,未対応,2026-03-26 09:19:00
INQ0136,USER0431,商品の使い方が分からないので教えてほしい。,未対応,2026-02-20 18:35:00
INQ0137,USER0219,配送業者を指定することはできますか？,対応中,2026-01-07 11:00:00
INQ0138,USER0246,返金までにどのくらい時間がかかりますか？,未対応,2026-03-26 20:38:00
INQ0139,USER0327,決済エラーが出て注文できません。原因を教えてください。,未対応,2026-01-04 06:10:00
INQ0140,USER0402,ログインできなくなってしまいました。,対応中,2026-03-02 03:19:00
INQ0141,USER0047,商品の仕様について詳しく知りたいです。,対応中,2026-03-04 21:16:00
INQ0142,USER0196,メールアドレスを変更したいです。,未対応,2026-01-24 11:56:00
INQ0143,USER0226,ポイント付与が反映されていません。,対応中,2026-02-27 01:16:00
INQ0144,USER0032,開封済みの商品でも返品できますか？,完了,2026-01-29 08:36:00
INQ0145,USER0343,アカウントを削除したいです。手順を教えてください。,完了,2026-03-27 03:05:00
INQ0146,USER0284,不在時の荷物の再配達を依頼したいです。,対応中,2026-02-22 18:14:00
INQ0147,USER0352,お気に入りリストに追加した商品が消えてしまいました。,完了,2026-03-08 13:34:00
INQ0148,USER0041,ログインできなくなってしまいました。,完了,2026-01-31 15:19:00
INQ0149,USER0462,商品在庫はいつ頃復活しますか？,完了,2026-01-05 16:36:00
INQ0150,USER0062,招待プログラムの特典はいつ反映されますか？,未対応,2026-03-28 19:09:00
INQ0151,USER0099,サイズ交換は可能ですか？,未対応,2026-01-22 06:51:00
INQ0152,USER0223,返金までにどのくらい時間がかかりますか？,完了,2026-02-24 02:43:00
INQ0153,USER0164,海外発送は対応していますか？,未対応,2026-01-19 19:16:00
INQ0154,USER0283,パスワードを忘れてしまいました。リセット方法は？,対応中,2026-02-19 17:25:00
INQ0155,USER0448,注文した商品がまだ届きません。発送状況を確認してほしい。,完了,2026-03-08 14:58:00
INQ0156,USER0401,ポイントの有効期限を確認したいです。,未対応,2026-03-21 18:33:00
INQ0157,USER0291,御社のSNSアカウントを教えてください。,完了,2026-02-23 04:09:00
INQ0158,USER0055,退会理由のアンケートに答えたいです。,未対応,2026-04-08 03:59:00
INQ0159,USER0275,アカウントを削除したいです。手順を教えてください。,対応中,2026-04-11 09:55:00
INQ0160,USER0249,退会理由のアンケートに答えたいです。,完了,2026-02-03 12:41:00
INQ0161,USER0142,ログインできなくなってしまいました。,未対応,2026-03-02 01:11:00
INQ0162,USER0356,ログインできなくなってしまいました。,未対応,2026-03-21 19:43:00
INQ0163,USER0122,不在時の荷物の再配達を依頼したいです。,完了,2026-02-20 10:44:00
INQ0164,USER0191,配送日時の指定を変更できますか？,対応中,2026-03-02 08:57:00
INQ0165,USER0432,商品の使い方が分からないので教えてほしい。,完了,2026-02-08 09:17:00
INQ0166,USER0117,サイズ交換は可能ですか？,対応中,2026-03-29 03:55:00
INQ0167,USER0423,パスワードを忘れてしまいました。リセット方法は？,対応中,2026-04-06 14:49:00
INQ0168,USER0331,配送業者を指定することはできますか？,未対応,2026-04-04 13:38:00
INQ0169,USER0422,ポイントの有効期限を確認したいです。,完了,2026-02-26 06:58:00
INQ0170,USER0192,不在時の荷物の再配達を依頼したいです。,完了,2026-03-04 16:55:00
INQ0171,USER0364,カートに入れた商品の一部が勝手に削除されました。,対応中,2026-01-21 02:19:00
INQ0172,USER0292,配送日時の指定を変更できますか？,未対応,2026-01-18 16:56:00
INQ0173,USER0030,領収書の発行をお願いします。,未対応,2026-01-25 06:53:00
INQ0174,USER0185,返金までにどのくらい時間がかかりますか？,対応中,2026-02-28 01:58:00
INQ0175,USER0204,商品を大量購入したい場合、割引はありますか？,未対応,2026-02-17 14:32:00
INQ0176,USER0191,商品の使い方が分からないので教えてほしい。,完了,2026-03-29 00:15:00
INQ0177,USER0243,御社のSNSアカウントを教えてください。,完了,2026-02-27 05:55:00
INQ0178,USER0429,分割払いは可能ですか？,完了,2026-02-14 11:10:00
INQ0179,USER0015,2段階認証を設定したいです。,未対応,2026-03-30 02:18:00
INQ0180,USER0495,クーポンコードが使えませんでした。なぜですか。,未対応,2026-01-21 18:49:00
INQ0181,USER0106,コンビニ決済の支払期限が過ぎてしまいました。,完了,2026-03-24 07:43:00
INQ0182,USER0443,注文した商品がまだ届きません。発送状況を確認してほしい。,対応中,2026-02-22 16:01:00
INQ0183,USER0308,注文した商品がまだ届きません。発送状況を確認してほしい。,未対応,2026-01-17 20:11:00
INQ0184,USER0483,PayPay残高で支払いたいのですが、設定方法は？,完了,2026-02-02 19:51:00
INQ0185,USER0217,2段階認証を設定したいです。,対応中,2026-04-01 20:17:00
INQ0186,USER0239,PayPay残高で支払いたいのですが、設定方法は？,完了,2026-02-28 08:13:00
INQ0187,USER0300,返品をしたいのですが、手続き方法を教えてください。,未対応,2026-03-08 19:25:00
INQ0188,USER0430,メールアドレスを変更したいです。,完了,2026-03-07 21:53:00
INQ0189,USER0145,PayPay残高で支払いたいのですが、設定方法は？,完了,2026-03-24 19:38:00
INQ0190,USER0173,コンビニ決済の支払期限が過ぎてしまいました。,完了,2026-01-14 15:04:00
INQ0191,USER0336,PayPay残高で支払いたいのですが、設定方法は？,未対応,2026-02-11 08:16:00
INQ0192,USER0124,不在時の荷物の再配達を依頼したいです。,完了,2026-01-20 16:48:00
INQ0193,USER0349,サイズ交換は可能ですか？,完了,2026-02-21 21:20:00
INQ0194,USER0152,分割払いは可能ですか？,対応中,2026-01-04 20:31:00
INQ0195,USER0019,御社のSNSアカウントを教えてください。,完了,2026-02-21 12:47:00
INQ0196,USER0372,支払い方法を後から変更できますか？,完了,2026-03-15 06:21:00
INQ0197,USER0244,アカウントを削除したいです。手順を教えてください。,完了,2026-03-10 20:50:00
INQ0198,USER0337,取扱説明書を紛失したので再送してほしい。,未対応,2026-02-08 05:53:00
INQ0199,USER0066,分割払いは可能ですか？,完了,2026-02-07 03:30:00
INQ0200,USER0461,会員ランクはどうすれば上がりますか？,完了,2026-03-13 05:43:00
INQ0201,USER0115,PayPay残高で支払いたいのですが、設定方法は？,対応中,2026-01-12 07:22:00
INQ0202,USER0134,御社のSNSアカウントを教えてください。,対応中,2026-04-11 10:23:00
INQ0203,USER0028,商品を大量購入したい場合、割引はありますか？,完了,2026-03-01 03:30:00
INQ0204,USER0242,返金までにどのくらい時間がかかりますか？,完了,2026-03-16 19:04:00
INQ0205,USER0272,PayPay残高で支払いたいのですが、設定方法は？,対応中,2026-01-16 21:24:00
INQ0206,USER0103,会員ランクはどうすれば上がりますか？,対応中,2026-01-07 04:08:00
INQ0207,USER0162,返送料はどちらが負担しますか？,未対応,2026-03-14 14:09:00
INQ0208,USER0091,パスワードを忘れてしまいました。リセット方法は？,完了,2026-03-04 10:40:00
INQ0209,USER0141,クーポンコードが使えませんでした。なぜですか。,未対応,2026-01-08 00:28:00
INQ0210,USER0403,配送業者を指定することはできますか？,未対応,2026-03-15 05:31:00
INQ0211,USER0220,ログインできなくなってしまいました。,対応中,2026-03-20 13:40:00
INQ0212,USER0020,商品の仕様について詳しく知りたいです。,未対応,2026-03-03 12:00:00
INQ0213,USER0457,パスワードを忘れてしまいました。リセット方法は？,完了,2026-04-04 11:00:00
INQ0214,USER0003,商品を大量購入したい場合、割引はありますか？,完了,2026-01-25 00:43:00
INQ0215,USER0450,アカウントを削除したいです。手順を教えてください。,対応中,2026-02-01 07:44:00
INQ0216,USER0258,御社のSNSアカウントを教えてください。,対応中,2026-01-17 03:24:00
INQ0217,USER0024,PayPay残高で支払いたいのですが、設定方法は？,対応中,2026-01-22 02:52:00
INQ0218,USER0306,商品在庫はいつ頃復活しますか？,対応中,2026-02-28 23:33:00
INQ0219,USER0176,商品の使い方が分からないので教えてほしい。,対応中,2026-02-25 21:08:00
INQ0220,USER0486,ログインできなくなってしまいました。,未対応,2026-04-07 06:10:00
INQ0221,USER0068,クーポンコードが使えませんでした。なぜですか。,完了,2026-01-30 07:46:00
INQ0222,USER0087,商品に不良がありました。交換をお願いします。,対応中,2026-01-03 18:32:00
INQ0223,USER0020,2段階認証を設定したいです。,完了,2026-04-02 20:50:00
INQ0224,USER0025,法人向けの請求書払いに対応していますか？,未対応,2026-02-02 17:39:00
INQ0225,USER0429,配送日時の指定を変更できますか？,未対応,2026-03-26 03:41:00
INQ0226,USER0228,2段階認証を設定したいです。,未対応,2026-03-30 03:26:00
INQ0227,USER0360,開封済みの商品でも返品できますか？,未対応,2026-03-12 08:30:00
INQ0228,USER0005,PayPay残高で支払いたいのですが、設定方法は？,対応中,2026-03-30 21:40:00
INQ0229,USER0267,コンビニ決済の支払期限が過ぎてしまいました。,完了,2026-03-26 03:42:00
INQ0230,USER0215,返品をしたいのですが、手続き方法を教えてください。,完了,2026-03-19 22:08:00
INQ0231,USER0145,商品に不良がありました。交換をお願いします。,未対応,2026-04-03 19:07:00
INQ0232,USER0103,分割払いは可能ですか？,完了,2026-03-05 06:38:00
INQ0233,USER0210,決済エラーが出て注文できません。原因を教えてください。,未対応,2026-01-26 11:45:00
INQ0234,USER0467,クーポンコードが使えませんでした。なぜですか。,完了,2026-01-06 17:31:00
INQ0235,USER0002,注文した商品がまだ届きません。発送状況を確認してほしい。,完了,2026-03-03 10:15:00
INQ0236,USER0294,商品の使い方が分からないので教えてほしい。,未対応,2026-01-12 03:53:00
INQ0237,USER0371,返品をしたいのですが、手続き方法を教えてください。,対応中,2026-01-12 16:04:00
INQ0238,USER0152,分割払いは可能ですか？,対応中,2026-03-24 07:29:00
INQ0239,USER0090,配送先住所を変更したいです。,対応中,2026-01-07 03:52:00
INQ0240,USER0219,商品に不良がありました。交換をお願いします。,未対応,2026-02-16 21:20:00
INQ0241,USER0437,サイズ交換は可能ですか？,完了,2026-04-08 01:00:00
INQ0242,USER0184,招待プログラムの特典はいつ反映されますか？,完了,2026-03-24 05:21:00
INQ0243,USER0191,会員ランクはどうすれば上がりますか？,未対応,2026-02-04 23:05:00
INQ0244,USER0493,ポイント付与が反映されていません。,対応中,2026-01-15 12:25:00
INQ0245,USER0245,ポイントの有効期限を確認したいです。,完了,2026-02-19 22:54:00
INQ0246,USER0357,不在時の荷物の再配達を依頼したいです。,未対応,2026-01-22 03:08:00
INQ0247,USER0303,お気に入りリストに追加した商品が消えてしまいました。,完了,2026-01-14 13:58:00
INQ0248,USER0313,2段階認証を設定したいです。,対応中,2026-03-28 14:11:00
INQ0249,USER0351,サイズ交換は可能ですか？,対応中,2026-03-20 00:55:00
INQ0250,USER0211,招待プログラムの特典はいつ反映されますか？,未対応,2026-03-04 03:56:00
INQ0251,USER0161,注文した商品がまだ届きません。発送状況を確認してほしい。,完了,2026-01-09 08:41:00
INQ0252,USER0381,退会理由のアンケートに答えたいです。,完了,2026-03-28 16:49:00
INQ0253,USER0448,会員ランクはどうすれば上がりますか？,完了,2026-03-14 07:42:00
INQ0254,USER0317,返品をしたいのですが、手続き方法を教えてください。,対応中,2026-03-08 22:44:00
INQ0255,USER0247,アカウントを削除したいです。手順を教えてください。,完了,2026-03-26 23:15:00
INQ0256,USER0077,取扱説明書を紛失したので再送してほしい。,完了,2026-03-28 20:24:00
INQ0257,USER0479,使用後の返品は受け付けていますか？,完了,2026-01-07 00:41:00
INQ0258,USER0085,海外発送は対応していますか？,対応中,2026-03-02 15:55:00
INQ0259,USER0497,コンビニ決済の支払期限が過ぎてしまいました。,未対応,2026-02-11 07:21:00
INQ0260,USER0330,2段階認証を設定したいです。,対応中,2026-03-06 07:35:00
INQ0261,USER0228,退会理由のアンケートに答えたいです。,対応中,2026-01-31 02:29:00
INQ0262,USER0162,商品に不良がありました。交換をお願いします。,対応中,2026-01-12 15:28:00
INQ0263,USER0053,ログインできなくなってしまいました。,対応中,2026-04-06 20:01:00
INQ0264,USER0001,配送業者を指定することはできますか？,完了,2026-01-05 17:35:00
INQ0265,USER0456,カートに入れた商品の一部が勝手に削除されました。,完了,2026-03-21 20:19:00
INQ0266,USER0234,会員ランクはどうすれば上がりますか？,対応中,2026-01-27 20:42:00
INQ0267,USER0233,会員ランクはどうすれば上がりますか？,完了,2026-01-07 07:54:00
INQ0268,USER0243,メールアドレスを変更したいです。,完了,2026-04-09 19:38:00
INQ0269,USER0389,支払い方法を後から変更できますか？,未対応,2026-02-27 03:06:00
INQ0270,USER0325,決済エラーが出て注文できません。原因を教えてください。,完了,2026-02-13 11:53:00
INQ0271,USER0055,配送先住所を変更したいです。,未対応,2026-03-08 11:44:00
INQ0272,USER0368,ポイントの有効期限を確認したいです。,未対応,2026-03-05 04:52:00
INQ0273,USER0097,商品に不良がありました。交換をお願いします。,対応中,2026-02-02 19:12:00
INQ0274,USER0401,返金までにどのくらい時間がかかりますか？,完了,2026-01-28 14:52:00
INQ0275,USER0213,配送先住所を変更したいです。,完了,2026-02-13 03:48:00
INQ0276,USER0396,招待プログラムの特典はいつ反映されますか？,対応中,2026-03-28 18:07:00
INQ0277,USER0069,商品の使い方が分からないので教えてほしい。,未対応,2026-03-26 18:32:00
INQ0278,USER0284,誕生日クーポンが届いていません。,完了,2026-03-09 23:03:00
INQ0279,USER0472,返送料はどちらが負担しますか？,完了,2026-03-03 16:49:00
INQ0280,USER0418,サイズ交換は可能ですか？,未対応,2026-03-16 05:46:00
INQ0281,USER0311,パスワードを忘れてしまいました。リセット方法は？,完了,2026-02-19 21:38:00
INQ0282,USER0469,領収書の発行をお願いします。,対応中,2026-02-19 13:38:00
INQ0283,USER0232,サイズ交換は可能ですか？,未対応,2026-02-20 10:18:00
INQ0284,USER0454,カートに入れた商品の一部が勝手に削除されました。,対応中,2026-02-22 19:44:00
INQ0285,USER0161,取扱説明書を紛失したので再送してほしい。,完了,2026-03-31 17:55:00
INQ0286,USER0320,決済エラーが出て注文できません。原因を教えてください。,完了,2026-01-28 06:13:00
INQ0287,USER0364,返送料はどちらが負担しますか？,完了,2026-02-14 21:08:00
INQ0288,USER0166,商品に不良がありました。交換をお願いします。,対応中,2026-03-11 22:40:00
INQ0289,USER0293,ポイントの有効期限を確認したいです。,完了,2026-03-13 15:37:00
INQ0290,USER0450,誕生日クーポンが届いていません。,未対応,2026-04-06 17:18:00
INQ0291,USER0196,開封済みの商品でも返品できますか？,未対応,2026-03-08 03:01:00
INQ0292,USER0137,使用後の返品は受け付けていますか？,対応中,2026-03-27 01:12:00
INQ0293,USER0430,不在時の荷物の再配達を依頼したいです。,完了,2026-03-29 08:09:00
INQ0294,USER0386,商品の仕様について詳しく知りたいです。,未対応,2026-04-11 09:13:00
INQ0295,USER0316,取扱説明書を紛失したので再送してほしい。,未対応,2026-02-15 14:06:00
INQ0296,USER0200,領収書の発行をお願いします。,完了,2026-04-06 20:35:00
INQ0297,USER0355,不在時の荷物の再配達を依頼したいです。,対応中,2026-04-11 22:18:00
INQ0298,USER0500,パスワードを忘れてしまいました。リセット方法は？,完了,2026-02-19 13:50:00
INQ0299,USER0129,返金までにどのくらい時間がかかりますか？,完了,2026-01-07 00:47:00
INQ0300,USER0116,商品を大量購入したい場合、割引はありますか？,完了,2026-04-10 14:53:00
